"gene"	"ma_vitro"	"hm_vitro"	"ma_vivo"	"hm_vivo"	"group"
"Kdm3b Mm"	1	1	1	0	"shared"
"Copg1 Mm"	0	1	1	1	"shared"
"Mrpl44 Mm"	1	1	1	1	"shared"
"Rabif Mm"	1	1	1	1	"shared"
"Ddost Mm"	1	1	1	1	"shared"
"Slc31a1 Mm"	1	1	1	1	"shared"
"Atxn10 Mm"	1	1	1	1	"shared"
"Mrpl43 Mm"	1	1	1	1	"shared"
"Gnb1l Mm"	1	1	1	1	"shared"
"Runx1 Mm"	0	0	1	1	"vivo_only"
"Kti12 Mm"	1	1	1	1	"shared"
"Eefsec Mm"	1	1	1	1	"shared"
"Csnk2a1 Mm"	1	1	0	1	"shared"
"Pno1 Mm"	1	1	1	1	"shared"
"Rrs1 Mm"	1	1	0	1	"shared"
"Dcps Mm"	1	1	1	1	"shared"
"Brd3 Mm"	0	0	1	1	"vivo_only"
"Isca1 Mm"	1	1	1	1	"shared"
"Ccdc137 Mm"	1	1	1	1	"shared"
"Nsd1 Mm"	1	0	1	1	"shared"
"Ttc14 Mm"	1	1	1	1	"shared"
"Rc3h1 Mm"	0	0	1	1	"vivo_only"
"Usf2 Mm"	0	0	1	1	"vivo_only"
"Bnip1 Mm"	1	1	1	1	"shared"
"Mesdc2 Mm"	1	1	1	1	"shared"
"Mrps24 Mm"	1	1	0	1	"shared"
"Tomm40 Mm"	1	1	0	1	"shared"
"Myh9 Mm"	1	1	0	1	"shared"
"Letm1 Mm"	1	1	1	1	"shared"
"Mtx1 Mm"	1	1	0	1	"shared"
"Zfp407 Mm"	1	1	1	1	"shared"
"Mtr Mm"	1	1	1	1	"shared"
"Carnmt1 Mm"	1	1	1	1	"shared"
"Ybx1 Mm"	1	1	0	1	"shared"
"Surf6 Mm"	1	1	1	1	"shared"
"Coq5 Mm"	1	1	1	1	"shared"
"Tti2 Mm"	1	1	1	1	"shared"
"Mapkap1 Mm"	1	1	1	1	"shared"
"Ctcf Mm"	1	1	0	1	"shared"
"Eif4b Mm"	1	1	1	1	"shared"
"Cmip Mm"	1	1	0	1	"shared"
"Polg Mm"	1	1	1	1	"shared"
"Riok2 Mm"	1	1	0	0	"vitro_only"
"Naa30 Mm"	1	1	1	1	"shared"
"Grpel1 Mm"	1	1	1	1	"shared"
"Kdm6a Mm"	1	1	0	1	"shared"
"Exoc5 Mm"	1	1	1	1	"shared"
"Mcts1 Mm"	1	1	1	1	"shared"
"Usp16 Mm"	1	1	1	1	"shared"
"Bzw1 Mm"	0	0	1	0	"vivo_only"
"Crls1 Mm"	1	1	1	1	"shared"
"Cops7a Mm"	1	0	1	1	"shared"
"Ccdc130 Mm"	1	1	0	1	"shared"
"Zmynd8 Mm"	1	1	1	1	"shared"
"Coq4 Mm"	1	1	1	1	"shared"
"Tnpo1 Mm"	1	1	0	1	"shared"
"Med24 Mm"	1	1	0	1	"shared"
"Rhoa Mm"	1	1	0	1	"shared"
"1810013L24Rik Mm"	1	1	1	0	"shared"
"Sumo3 Mm"	1	0	1	0	"shared"
"Cdk12 Mm"	1	1	0	1	"shared"
"Agps Mm"	1	1	1	0	"shared"
"Stat5a Mm"	1	1	1	1	"shared"
"Mrps35 Mm"	1	1	1	1	"shared"
"Ankrd17 Mm"	1	1	1	1	"shared"
"Fdx1 Mm"	0	1	1	1	"shared"
"Wac Mm"	1	1	1	1	"shared"
"Mre11a Mm"	1	1	1	1	"shared"
"Rer1 Mm"	0	1	1	1	"shared"
"Trim33 Mm"	0	1	1	1	"shared"
"Kansl3 Mm"	1	1	0	1	"shared"
"Hoxa9 Mm"	1	1	1	1	"shared"
"Dyrk1a Mm"	1	1	1	1	"shared"
"Nipbl Mm"	1	1	0	0	"vitro_only"
"Anln Mm"	1	1	1	1	"shared"
"Brd1 Mm"	1	1	1	1	"shared"
"Ube2z Mm"	0	1	1	1	"shared"
"Idi1 Mm"	1	1	0	1	"shared"
"Tle3 Mm"	0	1	0	1	"shared"
"Tpi1 Mm"	1	1	0	1	"shared"
"Gnai3 Mm"	0	0	1	1	"vivo_only"
"Cmtr1 Mm"	1	1	1	1	"shared"
"Kdm2b Mm"	0	0	1	1	"vivo_only"
"Dnajb6 Mm"	1	0	1	0	"shared"
"Med8 Mm"	1	1	1	1	"shared"
"Xrcc4 Mm"	1	1	1	1	"shared"
"Sbds Mm"	1	1	0	1	"shared"
"Erbb2ip Mm"	0	0	1	1	"vivo_only"
"Nol7 Mm"	1	1	1	1	"shared"
"Arl8b Mm"	1	0	1	1	"shared"
"Tubg2 Mm"	1	1	1	0	"shared"
"Slc25a5 Mm"	1	1	1	1	"shared"
"Nol9 Mm"	1	1	0	1	"shared"
"Coasy Mm"	1	1	1	1	"shared"
"Rpe Mm"	1	1	1	1	"shared"
"Coq3 Mm"	1	1	1	1	"shared"
"Adnp2 Mm"	0	1	0	0	"vitro_only"
"Uggt1 Mm"	0	1	1	1	"shared"
"Brd8 Mm"	1	1	1	1	"shared"
"Tln1 Mm"	0	0	1	1	"vivo_only"
"Birc6 Mm"	1	1	1	1	"shared"
"Mrpl38 Mm"	1	1	0	1	"shared"
"Mphosph8 Mm"	1	0	1	0	"shared"
"Mbtd1 Mm"	0	1	1	1	"shared"
"Trim37 Mm"	1	1	0	1	"shared"
"Nadk Mm"	1	1	0	1	"shared"
"Mrpl36 Mm"	1	1	0	1	"shared"
"Rock1 Mm"	0	0	1	1	"vivo_only"
"Znhit6 Mm"	1	1	1	1	"shared"
"Zzz3 Mm"	1	0	1	1	"shared"
"Irf2bp2 Mm"	1	1	0	1	"shared"
"Mgat2 Mm"	1	1	1	1	"shared"
"Mdh2 Mm"	1	0	1	1	"shared"
"Tax1bp1 Mm"	0	0	1	0	"vivo_only"
"Ddx21 Mm"	1	1	0	1	"shared"
"Rbm27 Mm"	1	0	1	1	"shared"
"Mrps7 Mm"	1	1	0	1	"shared"
"Prkar1a Mm"	1	1	0	1	"shared"
"Wdr83 Mm"	1	1	0	0	"vitro_only"
"Bloc1s1 Mm"	1	0	1	1	"shared"
"Dnajb11 Mm"	0	0	1	1	"vivo_only"
"Dhrsx Mm"	1	1	1	1	"shared"
"Cramp1l Mm"	0	1	0	1	"shared"
"Fbrs Mm"	1	1	1	1	"shared"
"Xrcc1 Mm"	0	1	1	0	"shared"
"0610010K14Rik Mm"	0	0	1	0	"vivo_only"
"Mterf4 Mm"	1	1	1	1	"shared"
"Tpst2 Mm"	0	0	1	1	"vivo_only"
"Rlim Mm"	1	1	1	0	"shared"
"Tasp1 Mm"	1	0	1	1	"shared"
"Tmem219 Mm"	1	0	1	0	"shared"
"Dtl Mm"	1	1	0	0	"vitro_only"
"Cep120 Mm"	0	1	0	1	"shared"
"Ttbk1 Mm"	1	1	0	0	"vitro_only"
"Dhrs7b Mm"	1	1	1	0	"shared"
"Minos1 Mm"	1	1	0	1	"shared"
"Prr12 Mm"	1	1	0	0	"vitro_only"
"Wnk1 Mm"	1	1	0	1	"shared"
"Mast1 Mm"	1	0	0	0	"vitro_only"
"Mef2d Mm"	0	0	1	0	"vivo_only"
"Bmi1 Mm"	1	1	0	1	"shared"
"Ube2k Mm"	1	1	1	1	"shared"
"Fut8 Mm"	1	1	1	0	"shared"
"Pik3cg Mm"	0	0	1	1	"vivo_only"
"Rptor Mm"	1	1	1	1	"shared"
"Troap Mm"	1	1	0	0	"vitro_only"
"Nek2 Mm"	1	1	1	1	"shared"
"Ascc2 Mm"	0	0	1	1	"vivo_only"
"Ikzf1 Mm"	0	0	1	1	"vivo_only"
"Huwe1 Mm"	1	1	0	0	"vitro_only"
"Lpcat3 Mm"	1	1	0	0	"vitro_only"
"Eif2b1 Mm"	1	1	0	0	"vitro_only"
"Fancb Mm"	1	1	1	0	"shared"
"Borcs6 Mm"	1	1	1	0	"shared"
"Arhgef18 Mm"	0	0	1	1	"vivo_only"
"Rock2 Mm"	1	0	1	1	"shared"
"Jkamp Mm"	1	1	1	1	"shared"
"Arih2 Mm"	0	0	1	1	"vivo_only"
"Mif Mm"	1	1	0	0	"vitro_only"
"Itga4 Mm"	0	0	1	1	"vivo_only"
"Dnajc13 Mm"	1	1	0	1	"shared"
"Akt1 Mm"	0	1	1	1	"shared"
"Klhl11 Mm"	0	0	1	1	"vivo_only"
"Slc7a11 Mm"	1	0	1	0	"shared"
"Ifrd2 Mm"	0	0	1	0	"vivo_only"
"Metap1 Mm"	1	1	0	0	"vitro_only"
"Elovl5 Mm"	1	1	1	0	"shared"
"Ets1 Mm"	0	1	0	1	"shared"
"Zmynd19 Mm"	1	1	0	0	"vitro_only"
"Myl9 Mm"	1	1	0	0	"vitro_only"
"Taf6l Mm"	1	1	0	1	"shared"
"Grb2 Mm"	1	1	0	0	"vitro_only"
"Borcs7 Mm"	1	1	1	0	"shared"
"Epc2 Mm"	1	0	1	0	"shared"
"Mtch1 Mm"	0	0	1	0	"vivo_only"
"Ubp1 Mm"	1	1	1	1	"shared"
"Prr14l Mm"	0	1	0	1	"shared"
"Trmt12 Mm"	0	0	1	1	"vivo_only"
"Adipor2 Mm"	1	1	0	1	"shared"
"Ilf3 Mm"	1	1	0	1	"shared"
"Kcmf1 Mm"	1	1	0	1	"shared"
"Stat3 Mm"	0	0	1	0	"vivo_only"
"Rai1 Mm"	0	0	1	1	"vivo_only"
"Prmt3 Mm"	1	1	0	0	"vitro_only"
"Suv39h1 Mm"	1	1	0	0	"vitro_only"
"Fancc Mm"	1	1	1	1	"shared"
"5031414D18Rik Mm"	0	1	0	0	"vitro_only"
"Pdk3 Mm"	1	1	0	0	"vitro_only"
"Rhog Mm"	1	1	0	1	"shared"
"Snx12 Mm"	0	0	0	0	"ND"
"Srek1 Mm"	1	1	0	0	"vitro_only"
"Mcat Mm"	1	1	0	1	"shared"
"Pus7 Mm"	1	1	1	1	"shared"
"Fkbp1a Mm"	1	1	0	0	"vitro_only"
"Ptgis Mm"	0	0	0	0	"ND"
"Rapgef6 Mm"	0	1	0	1	"shared"
"Med13l Mm"	1	0	1	0	"shared"
"Sez6l2 Mm"	0	0	0	0	"ND"
"Plac8 Mm"	0	0	1	1	"vivo_only"
"Cdc73 Mm"	0	0	0	0	"ND"
"Cryl1 Mm"	0	0	0	0	"ND"
"Ss18 Mm"	1	1	0	1	"shared"
"Rab1a Mm"	0	1	0	1	"shared"
"Tomm7 Mm"	0	0	0	0	"ND"
"Fnip1 Mm"	0	0	0	1	"vivo_only"
"Kif18a Mm"	1	0	1	0	"shared"
"Plpp5 Mm"	0	0	0	0	"ND"
"Prr30 Mm"	0	0	0	0	"ND"
"Phactr1 Mm"	0	0	0	0	"ND"
"Fmo5 Mm"	0	0	0	0	"ND"
"Pcif1 Mm"	1	0	1	1	"shared"
"Smarcal1 Mm"	0	0	0	0	"ND"
"Rprm Mm"	0	0	0	0	"ND"
"Tor1a Mm"	0	0	0	0	"ND"
"Hacd3 Mm"	0	0	0	0	"ND"
"Dpysl3 Mm"	0	0	0	0	"ND"
"Patz1 Mm"	0	0	1	0	"vivo_only"
"Arid3a Mm"	0	0	1	1	"vivo_only"
"Arsj Mm"	0	0	0	0	"ND"
"Cep55 Mm"	0	1	0	0	"vitro_only"
"Lzts1 Mm"	0	0	0	0	"ND"
"Nfkbil1 Mm"	0	0	0	0	"ND"
"Manba Mm"	0	0	0	0	"ND"
"Tnf Mm"	0	0	0	0	"ND"
"Wnt5b Mm"	0	0	0	0	"ND"
"Nras Mm"	1	1	0	0	"vitro_only"
"Hoxb13 Mm"	0	0	0	0	"ND"
"Gpr180 Mm"	0	0	0	0	"ND"
"Smchd1 Mm"	0	1	0	0	"vitro_only"
"Ctss Mm"	0	0	0	0	"ND"
"Plcb3 Mm"	0	0	0	0	"ND"
"Dock5 Mm"	0	0	0	0	"ND"
"Chp1 Mm"	0	0	0	0	"ND"
"Ttll1 Mm"	0	0	0	0	"ND"
"Bod1l Mm"	0	0	0	1	"vivo_only"
"Rnf19b Mm"	0	0	1	1	"vivo_only"
"Golga7b Mm"	0	0	0	0	"ND"
"Qrfp Mm"	0	0	0	0	"ND"
"Itgam Mm"	0	0	0	0	"ND"
"Slc26a9 Mm"	0	0	0	0	"ND"
"Mfsd8 Mm"	0	1	0	1	"shared"
"Amz2 Mm"	0	0	0	0	"ND"
"Sox8 Mm"	0	0	0	0	"ND"
"Furin Mm"	0	0	1	0	"vivo_only"
"Apobec3 Mm"	0	0	0	0	"ND"
"Mapk6 Mm"	0	0	0	1	"vivo_only"
"Spef1 Mm"	0	0	0	0	"ND"
"Epha5 Mm"	0	0	0	0	"ND"
"Stk35 Mm"	1	0	0	0	"vitro_only"
"Slc10a7 Mm"	0	0	1	0	"vivo_only"
"Ptgs2 Mm"	0	0	1	0	"vivo_only"
"Dock1 Mm"	0	0	0	0	"ND"
"Cxxc4 Mm"	0	0	0	0	"ND"
"Sdr16c5 Mm"	0	0	0	0	"ND"
"Rdx Mm"	0	0	0	0	"ND"
"Rad51b Mm"	0	1	0	0	"vitro_only"
"Adamts4 Mm"	0	0	0	0	"ND"
"Meis2 Mm"	0	0	0	0	"ND"
"Ntrk1 Mm"	0	0	0	0	"ND"
"Gpt2 Mm"	0	0	0	0	"ND"
"Ndnf Mm"	0	0	0	0	"ND"
"Malt1 Mm"	0	0	0	0	"ND"
"Phc2 Mm"	0	0	0	1	"vivo_only"
"Gjb3 Mm"	0	0	0	0	"ND"
"Rgs3 Mm"	0	0	0	0	"ND"
"Far2 Mm"	0	0	0	0	"ND"
"Slc9a1 Mm"	0	1	0	1	"shared"
"Coro1b Mm"	0	0	0	0	"ND"
"Klf5 Mm"	0	0	1	0	"vivo_only"
"Plk2 Mm"	0	0	0	0	"ND"
"Stx1a Mm"	0	0	0	0	"ND"
"Timm21 Mm"	0	0	0	0	"ND"
"Nhej1 Mm"	0	1	0	0	"vitro_only"
"Ate1 Mm"	0	0	0	0	"ND"
"Pirt Mm"	0	0	0	0	"ND"
"Cpa5 Mm"	0	0	0	0	"ND"
"Adrb3 Mm"	0	0	0	0	"ND"
"Wnt2b Mm"	0	0	0	0	"ND"
"Fxyd5 Mm"	1	0	0	0	"vitro_only"
"Dscam Mm"	0	0	0	0	"ND"
"Insig1 Mm"	0	0	1	1	"vivo_only"
"Aldh1a2 Mm"	0	0	0	0	"ND"
"Ulk3 Mm"	0	0	0	0	"ND"
"2510039O18Rik Mm"	0	0	1	0	"vivo_only"
"Col6a6 Mm"	0	0	0	0	"ND"
"Ccdc85b Mm"	0	0	0	0	"ND"
"Arid3b Mm"	0	0	0	0	"ND"
"Idh2 Mm"	0	0	0	0	"ND"
"Foxd1 Mm"	0	0	0	0	"ND"
"Glt6d1 Mm"	0	0	0	0	"ND"
"Trip4 Mm"	0	0	0	1	"vivo_only"
"Cacnb3 Mm"	0	0	0	0	"ND"
"Tnfrsf11a Mm"	0	0	0	0	"ND"
"Fzd8 Mm"	0	0	0	0	"ND"
"Lrrc63 Mm"	0	0	0	0	"ND"
"Mybpc3 Mm"	0	0	1	0	"vivo_only"
"Glg1 Mm"	0	0	1	0	"vivo_only"
"Guca1a Mm"	0	0	0	0	"ND"
"Spats2 Mm"	0	0	0	0	"ND"
"Slc44a4 Mm"	0	0	0	0	"ND"
"Pbx4 Mm"	0	0	0	0	"ND"
"Bag6 Mm"	0	0	1	1	"vivo_only"
"Tmem68 Mm"	0	0	0	0	"ND"
"Egflam Mm"	0	0	0	0	"ND"
"Dclk3 Mm"	0	0	0	0	"ND"
"Pdia2 Mm"	0	1	0	0	"vitro_only"
"9030617O03Rik Mm"	0	0	1	0	"vivo_only"
"Wipf1 Mm"	0	0	0	1	"vivo_only"
"Atp9a Mm"	0	0	0	0	"ND"
"Kcna4 Mm"	0	0	0	0	"ND"
"Zfp184 Mm"	0	0	0	0	"ND"
"Itga9 Mm"	0	0	0	0	"ND"
"Ccl24 Mm"	0	0	0	0	"ND"
"Ctsg Mm"	0	0	0	0	"ND"
"Wnt1 Mm"	0	0	0	0	"ND"
"Ddo Mm"	0	0	0	0	"ND"
"Brsk1 Mm"	1	0	0	0	"vitro_only"
"Ssbp4 Mm"	0	1	0	0	"vitro_only"
"Ryr3 Mm"	0	0	0	0	"ND"
"Plg Mm"	0	0	0	0	"ND"
"Odf2 Mm"	0	0	0	0	"ND"
"Inpp5e Mm"	0	0	0	0	"ND"
"Ddx60 Mm"	0	0	0	0	"ND"
"Leprot Mm"	0	0	0	0	"ND"
"Ttc21a Mm"	0	0	0	0	"ND"
"Rgs5 Mm"	0	0	0	0	"ND"
"Pmp2 Mm"	0	0	0	0	"ND"
"2010107G23Rik Mm"	0	0	0	0	"ND"
"Spata3 Mm"	0	0	0	0	"ND"
"Apoa5 Mm"	0	0	0	0	"ND"
"Fzd1 Mm"	0	0	0	0	"ND"
"Fam210b Mm"	0	0	0	0	"ND"
"Tacstd2 Mm"	0	0	0	0	"ND"
"Tmem100 Mm"	0	0	0	0	"ND"
"Bcl6b Mm"	0	0	0	0	"ND"
"Zfp28 Mm"	0	0	1	0	"vivo_only"
"Grid2ip Mm"	0	0	0	0	"ND"
"Slc16a5 Mm"	0	0	0	0	"ND"
"Adgrb2 Mm"	0	0	0	0	"ND"
"Hoxc8 Mm"	0	0	0	0	"ND"
"Gng10 Mm"	0	0	0	0	"ND"
"Acer1 Mm"	0	0	0	0	"ND"
"Baiap3 Mm"	0	0	0	0	"ND"
"Asic2 Mm"	0	0	0	0	"ND"
"Ppp1r3d Mm"	0	0	0	0	"ND"
"Kcnk18 Mm"	0	0	0	0	"ND"
"Npy Mm"	0	0	0	0	"ND"
"Kctd13 Mm"	0	0	0	0	"ND"
"Tmem88 Mm"	0	0	0	0	"ND"
"Ngb Mm"	0	0	0	0	"ND"
"Mbd4 Mm"	0	0	0	0	"ND"
"Palm2 Mm"	0	0	0	0	"ND"
"Mecp2 Mm"	0	0	0	0	"ND"
"Nr2f2 Mm"	0	0	0	0	"ND"
"Arhgdib Mm"	0	0	0	0	"ND"
"Fam198b Mm"	0	0	0	0	"ND"
"Irx6 Mm"	0	0	0	0	"ND"
"Bcr Mm"	0	0	0	0	"ND"
"Nat6 Mm"	0	0	0	1	"vivo_only"
"Lgals8 Mm"	0	0	0	0	"ND"
"Pde1a Mm"	0	0	0	0	"ND"
"Plcl1 Mm"	0	0	0	0	"ND"
"Brinp1 Mm"	0	0	0	0	"ND"
"Zyx Mm"	0	0	0	1	"vivo_only"
"Ftcd Mm"	0	0	0	0	"ND"
"Zfp9 Mm"	0	0	0	0	"ND"
"Atp7a Mm"	0	0	0	0	"ND"
"Kcnj1 Mm"	0	0	0	0	"ND"
"Hn1 Mm"	0	0	0	0	"ND"
"Rwdd2a Mm"	0	0	0	0	"ND"
"Glra4 Mm"	0	0	0	0	"ND"
"Ms4a1 Mm"	0	0	0	0	"ND"
"Tmem64 Mm"	0	0	0	0	"ND"
"Hdgfrp3 Mm"	0	0	0	0	"ND"
"Cyth1 Mm"	0	0	0	0	"ND"
"Arap2 Mm"	0	0	0	0	"ND"
"Tmem97 Mm"	0	0	0	0	"ND"
"Plxdc1 Mm"	0	0	0	0	"ND"
"Capg Mm"	0	0	0	0	"ND"
"Neurod2 Mm"	0	0	0	0	"ND"
"Gltpd2 Mm"	0	0	0	0	"ND"
"Slc44a1 Mm"	0	0	0	0	"ND"
"Npffr2 Mm"	0	0	0	0	"ND"
"Hic2 Mm"	0	0	0	0	"ND"
"Grm4 Mm"	0	0	0	0	"ND"
"Tspan2 Mm"	0	0	0	0	"ND"
"Eif2ak2 Mm"	0	0	0	0	"ND"
"Mmp25 Mm"	0	0	0	0	"ND"
"Rgs4 Mm"	0	0	0	0	"ND"
"Sox9 Mm"	0	0	0	0	"ND"
"Aldh4a1 Mm"	0	0	0	0	"ND"
"Myo9b Mm"	0	0	0	0	"ND"
"Cc2d2a Mm"	0	0	0	0	"ND"
"2010111I01Rik Mm"	0	0	0	0	"ND"
"Scube2 Mm"	0	0	0	0	"ND"
"4930563E22Rik Mm"	0	0	0	0	"ND"
"Ilk Mm"	0	0	0	1	"vivo_only"
"Sptlc2 Mm"	0	0	0	0	"ND"
"AA986860 Mm"	0	0	0	0	"ND"
"Spsb4 Mm"	0	0	1	0	"vivo_only"
"Pgk2 Mm"	0	0	0	0	"ND"
"Abcd3 Mm"	0	0	0	0	"ND"
"Gsr Mm"	0	0	0	0	"ND"
"Sugp2 Mm"	0	0	0	0	"ND"
"Nrsn2 Mm"	0	0	0	0	"ND"
"Rnf138 Mm"	0	0	0	0	"ND"
"Six4 Mm"	0	0	0	0	"ND"
"Drd4 Mm"	0	0	0	0	"ND"
"Mapk8ip3 Mm"	0	0	0	0	"ND"
"Ehmt2 Mm"	1	1	0	0	"vitro_only"
"Clock Mm"	0	0	0	0	"ND"
"Inpp5b Mm"	0	0	0	0	"ND"
"Cst6 Mm"	0	0	0	0	"ND"
"Poc1b Mm"	0	0	0	0	"ND"
"Ddc Mm"	0	0	0	0	"ND"
"Btbd6 Mm"	0	0	0	1	"vivo_only"
"Tas2r135 Mm"	0	0	0	0	"ND"
"Ccdc148 Mm"	0	0	0	0	"ND"
"Acap3 Mm"	0	0	0	0	"ND"
"Ptger2 Mm"	0	0	0	0	"ND"
"Camk1d Mm"	0	0	0	0	"ND"
"Tmem196 Mm"	0	0	0	0	"ND"
"Nudt19 Mm"	0	0	0	0	"ND"
"Zfp12 Mm"	0	0	0	0	"ND"
"Zfp300 Mm"	0	0	0	0	"ND"
"Rhbdd2 Mm"	0	0	0	0	"ND"
"Cxcr1 Mm"	0	0	0	0	"ND"
"Prkce Mm"	0	0	0	0	"ND"
"Nov Mm"	0	0	0	0	"ND"
"F3 Mm"	0	0	0	0	"ND"
"Tmem246 Mm"	0	0	0	0	"ND"
"Ptgfr Mm"	0	0	0	0	"ND"
"Kmt2c Mm"	0	0	0	1	"vivo_only"
"Ccdc126 Mm"	0	0	0	0	"ND"
"Htr1f Mm"	0	0	0	0	"ND"
"Ggh Mm"	0	0	0	0	"ND"
"Cd207 Mm"	0	0	0	0	"ND"
"3110043O21Rik Mm"	0	0	0	0	"ND"
"Dstn Mm"	0	0	0	0	"ND"
"Camk4 Mm"	0	0	0	0	"ND"
"Mall Mm"	0	0	0	0	"ND"
"Pitpna Mm"	0	0	0	0	"ND"
"Gucy2f Mm"	0	0	0	0	"ND"
"Svep1 Mm"	0	0	0	0	"ND"
"Fcer1g Mm"	0	0	0	0	"ND"
"Lmcd1 Mm"	0	0	0	0	"ND"
"Il4 Mm"	0	0	0	0	"ND"
"Dkk1 Mm"	0	0	0	0	"ND"
"Fitm1 Mm"	0	0	0	0	"ND"
"Ptprc Mm"	0	0	0	0	"ND"
"Gng11 Mm"	0	0	0	0	"ND"
"1700022I11Rik Mm"	0	0	0	0	"ND"
"Dok5 Mm"	0	0	0	0	"ND"
"Trem2 Mm"	0	0	0	0	"ND"
"Arhgap36 Mm"	0	0	0	0	"ND"
"Zc2hc1a Mm"	0	0	0	0	"ND"
"Adamts9 Mm"	0	0	0	0	"ND"
"control Mm"	0	0	0	0	"ND"
"Sfmbt2 Mm"	0	0	0	0	"ND"
"Spag16 Mm"	0	0	0	0	"ND"
"Caly Mm"	0	0	0	0	"ND"
"Sertm1 Mm"	0	0	0	0	"ND"
"Anxa3 Mm"	0	0	0	0	"ND"
"Adamts8 Mm"	0	0	0	0	"ND"
"Pbrm1 Mm"	0	1	0	1	"shared"
"2310033P09Rik Mm"	0	0	0	0	"ND"
"Acadm Mm"	0	0	0	0	"ND"
"Lysmd4 Mm"	0	0	0	0	"ND"
"C77080 Mm"	0	0	0	0	"ND"
"Ulk4 Mm"	0	0	0	0	"ND"
"Tecpr1 Mm"	0	0	0	0	"ND"
"Erc2 Mm"	0	0	0	0	"ND"
"Atp11b Mm"	0	1	0	0	"vitro_only"
"Smim20 Mm"	0	0	0	0	"ND"
