"gene"	"ma_vitro"	"hm_vitro"	"ma_vivo"	"hm_vivo"	"group"
"Mrpl27 Mm"	1	1	1	1	"shared"
"Nip7 Mm"	1	1	0	1	"shared"
"Ncapd2 Mm"	1	1	1	1	"shared"
"Rft1 Mm"	1	1	1	1	"shared"
"Gtf2h5 Mm"	1	0	1	1	"shared"
"Vdac2 Mm"	1	1	1	1	"shared"
"Bccip Mm"	1	1	1	1	"shared"
"Tiprl Mm"	1	1	1	1	"shared"
"Ppox Mm"	1	1	1	1	"shared"
"Snap23 Mm"	1	1	1	1	"shared"
"Tmem41b Mm"	1	1	1	1	"shared"
"Mrpl57 Mm"	1	1	1	1	"shared"
"Uso1 Mm"	1	1	1	1	"shared"
"Asun Mm"	1	1	1	1	"shared"
"Pold3 Mm"	1	1	1	1	"shared"
"Ppwd1 Mm"	1	1	1	1	"shared"
"Mtx2 Mm"	1	1	1	1	"shared"
"Ppcdc Mm"	1	1	1	1	"shared"
"Atpaf2 Mm"	1	1	1	1	"shared"
"Scap Mm"	1	1	0	1	"shared"
"Brap Mm"	1	1	1	1	"shared"
"Mrpl52 Mm"	1	1	1	1	"shared"
"Ecsit Mm"	1	1	1	1	"shared"
"Smg5 Mm"	1	1	1	1	"shared"
"Thg1l Mm"	1	1	1	1	"shared"
"Efr3a Mm"	1	1	1	1	"shared"
"Mepce Mm"	1	1	1	1	"shared"
"Pggt1b Mm"	1	1	1	1	"shared"
"Tpt1 Mm"	1	1	1	1	"shared"
"Gabpb1 Mm"	1	1	1	1	"shared"
"Smc4 Mm"	1	1	1	1	"shared"
"Oxsr1 Mm"	1	1	1	1	"shared"
"Kat8 Mm"	1	1	1	1	"shared"
"Trmt112 Mm"	1	1	0	1	"shared"
"Ipo11 Mm"	1	1	1	1	"shared"
"Kdm4a Mm"	1	1	1	0	"shared"
"Wdr74 Mm"	1	1	1	1	"shared"
"Gnl3l Mm"	1	1	1	1	"shared"
"Tsr2 Mm"	1	1	1	1	"shared"
"Ppp1r8 Mm"	1	1	1	1	"shared"
"Fermt3 Mm"	0	0	1	1	"vivo_only"
"Elof1 Mm"	1	1	1	1	"shared"
"Adsl Mm"	1	1	1	1	"shared"
"Ankrd40 Mm"	1	1	1	1	"shared"
"Hspa5 Mm"	1	1	0	1	"shared"
"Strip1 Mm"	1	1	1	1	"shared"
"Dnajc17 Mm"	1	1	1	1	"shared"
"Nsun4 Mm"	1	1	1	1	"shared"
"Ccdc22 Mm"	1	1	1	1	"shared"
"Ankrd52 Mm"	0	1	1	1	"shared"
"Ube2l3 Mm"	1	1	1	1	"shared"
"Thoc5 Mm"	1	1	1	1	"shared"
"Rpp40 Mm"	1	1	1	1	"shared"
"Lonp1 Mm"	1	1	1	1	"shared"
"Nop58 Mm"	1	1	0	1	"shared"
"E130309D02Rik Mm"	1	1	1	1	"shared"
"Aldoa Mm"	1	1	0	1	"shared"
"Mrps12 Mm"	1	1	1	1	"shared"
"Mrps18b Mm"	1	1	1	1	"shared"
"Oraov1 Mm"	1	1	0	1	"shared"
"Ppat Mm"	1	1	0	1	"shared"
"Pik3r4 Mm"	1	1	1	1	"shared"
"Sumo2 Mm"	1	1	1	1	"shared"
"Ube2j2 Mm"	1	1	1	1	"shared"
"Ptpmt1 Mm"	1	1	1	1	"shared"
"Gpkow Mm"	1	1	1	1	"shared"
"Slc2a1 Mm"	1	0	1	1	"shared"
"Vps25 Mm"	1	1	1	1	"shared"
"Cad Mm"	1	1	0	1	"shared"
"Acaca Mm"	1	1	1	1	"shared"
"Mrpl15 Mm"	1	1	1	1	"shared"
"Carm1 Mm"	1	1	1	1	"shared"
"Dusp12 Mm"	1	1	1	1	"shared"
"Actl6a Mm"	1	1	1	1	"shared"
"Dhx33 Mm"	1	1	1	1	"shared"
"Pet117 Mm"	1	1	1	1	"shared"
"Nubp1 Mm"	1	1	1	1	"shared"
"Spi1 Mm"	0	1	1	1	"shared"
"Itgb1 Mm"	0	0	1	1	"vivo_only"
"Eif1ad Mm"	1	1	0	1	"shared"
"Med17 Mm"	1	1	1	1	"shared"
"Haus1 Mm"	1	1	0	1	"shared"
"Aamp Mm"	1	1	1	1	"shared"
"Wdr24 Mm"	1	1	1	1	"shared"
"Rtcb Mm"	1	1	1	1	"shared"
"Pak1ip1 Mm"	1	1	1	1	"shared"
"Psmg1 Mm"	1	1	1	1	"shared"
"Slc35b1 Mm"	1	1	1	1	"shared"
"Usp7 Mm"	1	1	1	1	"shared"
"Vps13d Mm"	1	1	1	1	"shared"
"Hsd17b10 Mm"	1	1	1	1	"shared"
"Tefm Mm"	1	1	1	1	"shared"
"Isca2 Mm"	1	1	1	1	"shared"
"Uxt Mm"	1	1	1	1	"shared"
"Exosc7 Mm"	1	1	1	1	"shared"
"Cbfb Mm"	1	1	1	1	"shared"
"Pfdn5 Mm"	1	1	1	1	"shared"
"Nol10 Mm"	1	1	1	1	"shared"
"Ddx24 Mm"	1	1	0	1	"shared"
"Ncoa2 Mm"	1	1	1	1	"shared"
"Vps52 Mm"	1	1	1	1	"shared"
"Stk11 Mm"	1	1	1	1	"shared"
"Kif4 Mm"	1	1	1	1	"shared"
"Txnl4b Mm"	1	1	0	1	"shared"
"Hectd1 Mm"	1	1	1	1	"shared"
"Sec31a Mm"	1	1	1	1	"shared"
"Baz1b Mm"	1	1	1	1	"shared"
"Got2 Mm"	1	1	1	1	"shared"
"Vps11 Mm"	1	1	1	1	"shared"
"Pdia6 Mm"	1	1	1	1	"shared"
"Slc7a1 Mm"	1	1	1	1	"shared"
"Pfn1 Mm"	1	1	1	1	"shared"
"Ppp1cb Mm"	1	1	1	1	"shared"
"Mrps28 Mm"	1	1	1	1	"shared"
"Pmvk Mm"	1	1	1	1	"shared"
"Meaf6 Mm"	1	1	1	1	"shared"
"Tsen2 Mm"	1	1	1	1	"shared"
"Cdk13 Mm"	1	0	1	1	"shared"
"Gemin7 Mm"	1	1	1	1	"shared"
"Mgat1 Mm"	1	1	1	1	"shared"
"Copb2 Mm"	1	1	1	1	"shared"
"B4galt1 Mm"	0	0	1	1	"vivo_only"
"Ube2f Mm"	0	0	1	1	"vivo_only"
"Tardbp Mm"	1	1	1	1	"shared"
"Ddx10 Mm"	1	1	1	1	"shared"
"Dhx36 Mm"	1	1	1	1	"shared"
"Ubxn7 Mm"	1	1	1	1	"shared"
"Fam50a Mm"	1	1	1	1	"shared"
"Dph1 Mm"	1	1	1	1	"shared"
"Upf1 Mm"	1	1	1	1	"shared"
"Spdl1 Mm"	1	1	1	1	"shared"
"Dcaf7 Mm"	1	1	1	1	"shared"
"Sgf29 Mm"	1	1	1	1	"shared"
"Rack1 Mm"	1	1	0	1	"shared"
"Utp15 Mm"	1	1	1	1	"shared"
"Vmp1 Mm"	1	1	1	1	"shared"
"Ep400 Mm"	1	1	1	1	"shared"
"Tap1 Mm"	0	0	1	1	"vivo_only"
"Ak6 Mm"	1	1	1	1	"shared"
"Brd2 Mm"	1	1	1	1	"shared"
"Dnaja2 Mm"	1	1	1	1	"shared"
"Utp23 Mm"	1	1	1	1	"shared"
"Ctps Mm"	1	1	1	1	"shared"
"Nampt Mm"	1	1	1	1	"shared"
"Hnrnpa0 Mm"	1	1	1	1	"shared"
"Dph5 Mm"	1	1	1	1	"shared"
"Ric8a Mm"	0	1	1	1	"shared"
"Mrpl22 Mm"	1	1	1	1	"shared"
"Mrpl21 Mm"	1	1	1	1	"shared"
"Mto1 Mm"	1	1	1	1	"shared"
"Cr1l Mm"	0	0	1	1	"vivo_only"
"Top3a Mm"	1	1	1	1	"shared"
"Fnta Mm"	1	1	1	1	"shared"
"Pcgf1 Mm"	0	1	1	1	"shared"
"Fcf1 Mm"	1	1	1	1	"shared"
"Hinfp Mm"	1	1	0	1	"shared"
"Bcs1l Mm"	1	1	1	1	"shared"
"Lcp1 Mm"	1	0	1	1	"shared"
"Cd47 Mm"	0	0	1	1	"vivo_only"
"Lipt1 Mm"	1	1	1	1	"shared"
"Daxx Mm"	0	1	1	1	"shared"
"Csnk1a1 Mm"	1	1	1	1	"shared"
"Ddx59 Mm"	1	1	0	1	"shared"
"Cog7 Mm"	1	1	1	1	"shared"
"Btf3 Mm"	1	1	1	1	"shared"
"Ing5 Mm"	1	1	1	1	"shared"
"Itgb1bp1 Mm"	1	1	1	1	"shared"
"Trmu Mm"	1	1	1	1	"shared"
"Ptpn23 Mm"	1	1	1	1	"shared"
"Eif3m Mm"	1	1	1	1	"shared"
"Slc3a2 Mm"	1	1	1	0	"shared"
"Sacm1l Mm"	1	1	1	1	"shared"
"Dmap1 Mm"	1	1	1	1	"shared"
"Zbtb1 Mm"	1	1	1	1	"shared"
"Sik3 Mm"	1	0	1	1	"shared"
"Tap2 Mm"	0	0	1	1	"vivo_only"
"Mtrf1l Mm"	1	1	1	1	"shared"
"Paics Mm"	1	1	0	1	"shared"
"Mrpl46 Mm"	1	1	1	1	"shared"
"Dnajc8 Mm"	1	1	1	1	"shared"
"Mef2c Mm"	1	0	1	0	"shared"
"Rtel1 Mm"	1	1	1	1	"shared"
"Dut Mm"	1	1	0	1	"shared"
"Ints8 Mm"	1	1	1	1	"shared"
"Ubl5 Mm"	1	1	1	1	"shared"
"Naa25 Mm"	1	1	1	1	"shared"
"Mrps18a Mm"	1	1	1	1	"shared"
"Rpf1 Mm"	1	1	1	1	"shared"
"Slc19a1 Mm"	0	0	1	1	"vivo_only"
"Pias1 Mm"	1	0	1	0	"shared"
"Rab10 Mm"	1	1	1	1	"shared"
"Tsr1 Mm"	1	1	0	1	"shared"
"Tti1 Mm"	1	1	1	1	"shared"
"Pfdn1 Mm"	1	1	1	1	"shared"
"Sys1 Mm"	1	1	1	1	"shared"
"Elp2 Mm"	1	1	1	1	"shared"
"Grwd1 Mm"	1	1	0	1	"shared"
"Nsa2 Mm"	1	1	1	1	"shared"
"Cpsf4 Mm"	1	1	1	1	"shared"
"Alg11 Mm"	1	1	0	1	"shared"
"Eral1 Mm"	1	1	1	1	"shared"
"Ppil4 Mm"	1	1	0	1	"shared"
"Lrr1 Mm"	1	1	0	1	"shared"
"Mrps10 Mm"	1	1	1	1	"shared"
"Txn2 Mm"	1	1	1	1	"shared"
"Dis3 Mm"	1	1	0	1	"shared"
"Fadd Mm"	1	1	1	1	"shared"
"Ddx31 Mm"	1	1	1	0	"shared"
"Bysl Mm"	1	1	0	1	"shared"
"Nol11 Mm"	1	1	1	0	"shared"
"Pgk1 Mm"	1	1	1	1	"shared"
"Fh1 Mm"	1	1	1	1	"shared"
"Men1 Mm"	1	1	1	1	"shared"
"Polr2m Mm"	1	1	0	1	"shared"
"Alad Mm"	1	1	1	1	"shared"
"Kit Mm"	1	1	0	1	"shared"
"Usb1 Mm"	1	1	1	1	"shared"
"Dnmt1 Mm"	1	1	1	1	"shared"
"Fdps Mm"	1	1	0	1	"shared"
"Tprkb Mm"	1	1	1	1	"shared"
"Guk1 Mm"	1	1	1	1	"shared"
"Nelfa Mm"	1	1	1	1	"shared"
"Pam16 Mm"	1	1	0	1	"shared"
"Pdss2 Mm"	1	1	1	1	"shared"
"Cct5 Mm"	1	1	0	1	"shared"
"Pop1 Mm"	1	1	1	1	"shared"
"Nubpl Mm"	1	1	1	1	"shared"
"Mtg2 Mm"	1	1	1	1	"shared"
"Ecd Mm"	1	1	0	1	"shared"
"Srm Mm"	1	0	1	1	"shared"
"Pelo Mm"	1	1	1	1	"shared"
"Wdr25 Mm"	1	1	1	1	"shared"
"Pdap1 Mm"	1	1	1	1	"shared"
"Dot1l Mm"	1	1	1	0	"shared"
"Pes1 Mm"	1	1	1	1	"shared"
"Eny2 Mm"	1	1	1	1	"shared"
"Ppp1r10 Mm"	1	1	1	1	"shared"
"Rad51d Mm"	1	1	1	1	"shared"
"Crcp Mm"	1	1	1	1	"shared"
"Nelfb Mm"	1	1	1	1	"shared"
"Ppcs Mm"	1	1	1	1	"shared"
"Wdr82 Mm"	1	1	0	1	"shared"
"Sepsecs Mm"	1	1	1	1	"shared"
"Dscc1 Mm"	1	1	1	1	"shared"
"Ppp6c Mm"	1	1	0	1	"shared"
"Mrps34 Mm"	1	1	1	1	"shared"
"Cul2 Mm"	1	1	1	1	"shared"
"Emg1 Mm"	1	1	1	1	"shared"
"Med4 Mm"	1	1	1	1	"shared"
"Mdn1 Mm"	1	1	0	1	"shared"
"Ash2l Mm"	1	1	1	1	"shared"
"Thoc7 Mm"	1	1	1	1	"shared"
"Asxl2 Mm"	1	0	1	1	"shared"
"Cpox Mm"	1	1	1	1	"shared"
"Slmo2 Mm"	1	1	0	1	"shared"
"Tbl3 Mm"	1	1	1	1	"shared"
"Pbx2 Mm"	1	1	1	1	"shared"
"Mocs3 Mm"	1	1	1	1	"shared"
"Mrpl34 Mm"	1	1	1	1	"shared"
"Trmt5 Mm"	1	1	1	1	"shared"
"Eif3h Mm"	1	0	1	1	"shared"
"Eef1a1 Mm"	1	1	0	1	"shared"
"Rad51 Mm"	1	1	1	1	"shared"
"Timmdc1 Mm"	1	1	1	1	"shared"
"Ppp4c Mm"	1	1	0	1	"shared"
"Rpl7l1 Mm"	1	1	0	1	"shared"
"Ttc27 Mm"	1	1	1	1	"shared"
"Ankrd49 Mm"	1	1	1	1	"shared"
"Mrps33 Mm"	1	1	1	1	"shared"
"Stat5b Mm"	1	1	1	1	"shared"
"Dnajc11 Mm"	1	1	1	1	"shared"
"Ncaph2 Mm"	1	1	0	1	"shared"
"Cds2 Mm"	1	1	1	1	"shared"
"Sp1 Mm"	1	1	1	0	"shared"
"Srp68 Mm"	1	1	1	1	"shared"
"Eif2b2 Mm"	1	1	0	1	"shared"
"Stx5a Mm"	1	1	1	1	"shared"
"Tma16 Mm"	1	1	1	1	"shared"
"Mrpl51 Mm"	1	1	1	1	"shared"
"Toe1 Mm"	1	1	1	1	"shared"
"Gclc Mm"	1	1	1	1	"shared"
"Cenpc1 Mm"	1	1	1	1	"shared"
"Wdr59 Mm"	1	1	1	1	"shared"
"Pgm3 Mm"	1	1	1	1	"shared"
"Rpusd4 Mm"	1	1	1	1	"shared"
"Mrpl35 Mm"	1	1	1	1	"shared"
"Abce1 Mm"	1	1	1	1	"shared"
"Nxt1 Mm"	1	1	1	1	"shared"
"Mrpl41 Mm"	1	1	1	1	"shared"
"Elp5 Mm"	1	1	1	1	"shared"
"Isy1 Mm"	1	1	1	1	"shared"
"Slc25a26 Mm"	1	1	1	1	"shared"
"Eif2b5 Mm"	1	1	0	1	"shared"
"Slc25a19 Mm"	0	1	1	1	"shared"
"Ppan Mm"	1	1	1	1	"shared"
"Hspa4 Mm"	1	0	1	0	"shared"
"Tomm70a Mm"	1	1	1	1	"shared"
"Twistnb Mm"	1	1	1	1	"shared"
"Mrpl37 Mm"	1	1	1	1	"shared"
"Tsfm Mm"	1	1	1	1	"shared"
"Top2a Mm"	1	1	0	1	"shared"
"Snf8 Mm"	1	1	1	1	"shared"
"Vps72 Mm"	1	1	1	1	"shared"
"Brpf1 Mm"	1	1	1	1	"shared"
"Gabpa Mm"	1	1	0	1	"shared"
"Gtf3c6 Mm"	1	1	1	1	"shared"
"Dnlz Mm"	1	1	1	1	"shared"
"Chmp5 Mm"	1	1	1	1	"shared"
"Peo1 Mm"	1	1	1	1	"shared"
"Alg14 Mm"	1	1	1	1	"shared"
"Wbscr16 Mm"	1	1	1	1	"shared"
"Rrp7a Mm"	1	1	1	1	"shared"
"Nelfe Mm"	1	1	1	1	"shared"
"Wdr4 Mm"	1	1	1	1	"shared"
"Metap2 Mm"	1	1	1	1	"shared"
"Wdr33 Mm"	1	1	1	1	"shared"
"Rap1gds1 Mm"	1	1	1	1	"shared"
"Tmem208 Mm"	1	1	1	1	"shared"
"Trappc3 Mm"	1	1	0	1	"shared"
"Wdr48 Mm"	1	1	1	1	"shared"
"Ganab Mm"	1	1	1	1	"shared"
"E4f1 Mm"	1	1	1	1	"shared"
"Spata5l1 Mm"	1	1	0	1	"shared"
"Snupn Mm"	1	1	1	1	"shared"
"Hscb Mm"	1	1	1	1	"shared"
"G6pdx Mm"	1	1	0	1	"shared"
"Rsl1d1 Mm"	1	1	1	1	"shared"
"Gins3 Mm"	1	1	0	1	"shared"
"Ptpn11 Mm"	1	1	0	1	"shared"
"Cfap20 Mm"	1	1	1	1	"shared"
"Mrps21 Mm"	1	1	1	1	"shared"
"1110008L16Rik Mm"	1	1	1	1	"shared"
"Kras Mm"	1	1	1	0	"shared"
"Prc1 Mm"	1	1	1	1	"shared"
"Pop4 Mm"	1	1	1	1	"shared"
"Skiv2l2 Mm"	1	1	0	0	"vitro_only"
"Cirh1a Mm"	1	1	0	1	"shared"
"Mrpl20 Mm"	1	1	0	1	"shared"
"E430025E21Rik Mm"	1	1	1	1	"shared"
"Vps29 Mm"	1	1	1	1	"shared"
"Ddx20 Mm"	1	1	1	1	"shared"
"Dbr1 Mm"	1	1	1	1	"shared"
"Sap130 Mm"	1	1	0	1	"shared"
"Ldha Mm"	1	1	0	1	"shared"
"Exosc8 Mm"	1	1	0	1	"shared"
"Eri1 Mm"	1	0	1	1	"shared"
"Cox19 Mm"	1	1	1	1	"shared"
"Mcl1 Mm"	1	1	0	1	"shared"
"Mrps26 Mm"	1	1	1	1	"shared"
"Hypk Mm"	1	1	1	1	"shared"
"Elp3 Mm"	1	1	1	1	"shared"
"Clint1 Mm"	1	1	1	1	"shared"
"Uros Mm"	1	1	1	1	"shared"
"Mrpl14 Mm"	1	1	1	1	"shared"
"1110037F02Rik Mm"	1	1	1	1	"shared"
"Bap1 Mm"	1	1	0	1	"shared"
"Mrps30 Mm"	1	1	1	1	"shared"
"Adat3 Mm"	1	1	1	1	"shared"
"Dhps Mm"	1	1	1	1	"shared"
"Slc5a6 Mm"	0	0	1	1	"vivo_only"
"Mrpl39 Mm"	1	1	1	1	"shared"
"Foxred1 Mm"	1	1	1	1	"shared"
"Mettl1 Mm"	1	1	1	1	"shared"
"Alg8 Mm"	1	1	1	1	"shared"
"Ipmk Mm"	1	1	1	1	"shared"
"Bptf Mm"	1	1	1	1	"shared"
"Aco2 Mm"	1	1	1	1	"shared"
