MR	NumUP	NumDN	Index_maVitro	Index_maVivo	Index_hmVitro	Index_hmVivo	Index_Focused
OR3A3	0	1	0	0	0	0	0
OR10C1	0	2	0	0	0	0	0
IKZF4	0	1	0	0	0	0	0
SSX3	0	1	0	0	0	0	0
AKAP3	0	1	0	0	0	0	0
ATRNL1	0	3	0	0	0	0	0
GCM1	0	2	0	0	0	0	0
KLF12	0	2	0	0	0	0	0
NPY6R	0	1	0	0	0	0	0
ZNF507	0	1	0	0	0	0	0
FOXF2	0	2	0	0	0	0	0
BMP7	0	2	0	0	0	0	0
WWTR1	0	2	0	0	0	0	0
GBX1	0	3	0	0	0	0	0
ESRRG	0	1	0	0	0	0	0
FGF14	0	3	0	0	0	0	0
PRSS8	0	4	0	0	0	0	0
SOX2	0	2	0	0	0	0	0
CDKL2	0	1	0	0	0	0	0
DUOX2	0	1	0	0	0	0	0
EDNRA	0	3	0	0	0	0	0
GRIA3	0	1	0	0	0	0	0
TLL2	0	2	0	0	0	0	0
CHD2	0	2	0	0	0	0	0
SIM2	0	1	0	0	0	0	0
MAP3K9	0	2	0	0	0	0	0
CNTN1	0	1	0	0	0	0	0
PTGIS	0	2	0	0	0	0	1
GPRC5D	0	4	0	0	0	0	0
HSF4	0	3	0	0	0	0	0
CDX1	0	3	0	0	0	0	0
MST1R	0	2	0	0	0	0	0
FOXA2	0	2	0	0	0	0	0
ADAM11	0	1	0	0	0	0	0
CDON	0	1	0	0	0	0	0
CCL25	0	3	0	0	0	0	0
CRABP2	0	2	0	0	0	0	0
MTOR	0	2	0	0	0	0	0
ZNF384	0	1	0	0	0	0	0
GNB3	0	3	0	0	0	0	0
SRY	0	2	0	0	0	0	0
RASSF9	0	1	0	0	0	0	0
DCC	0	3	0	0	0	0	0
KHDRBS2	0	1	0	0	0	0	0
GPR3	0	1	0	0	0	0	0
NTRK2	0	3	0	0	0	0	0
LTA	0	3	0	0	0	0	0
SH2D3C	0	1	0	0	0	0	0
AMHR2	0	4	0	0	0	0	0
TSHB	0	1	0	0	0	0	0
P2RY4	0	3	0	0	0	0	0
FANCC	0	1	1	1	1	1	1
LIF	0	2	0	0	0	0	0
LRRN3	0	2	0	0	0	0	0
NCS1	0	3	0	0	0	0	0
KCNH4	0	3	0	0	0	0	0
GABBR2	0	1	0	0	0	0	0
OR5I1	0	2	0	0	0	0	0
RGN	0	2	0	0	0	0	0
HOXC11	0	2	0	0	0	0	0
BARX2	0	1	0	0	0	0	0
PRKG1	0	1	0	0	0	0	0
RXRG	0	2	0	0	0	0	0
GRIK3	0	1	0	0	0	0	0
GNG4	0	3	0	0	0	0	0
LZTS1	0	2	0	0	0	0	1
BRS3	0	2	0	0	0	0	0
NTSR2	0	4	0	0	0	0	0
HTR3A	0	3	0	0	0	0	0
PDE11A	0	3	0	0	0	0	0
CHRNA2	0	2	0	0	0	0	0
TBC1D29	0	2	0	0	0	0	0
SGK2	0	4	0	0	0	0	0
OR10J1	0	4	0	0	0	0	0
IL22	0	3	0	0	0	0	0
RPS6KA6	0	2	0	0	0	0	0
TCF7	0	3	0	0	0	0	0
FOXI1	0	2	0	0	0	0	0
IL1RAPL2	0	2	0	0	0	0	0
ZNF324	0	2	0	0	0	0	0
REM1	0	2	0	0	0	0	0
NRL	0	3	0	0	0	0	0
GABRP	0	1	0	0	0	0	0
NPAS3	0	2	0	0	0	0	0
HCRTR2	0	4	0	0	0	0	0
AVPR1B	0	3	0	0	0	0	0
OR1G1	0	2	0	0	0	0	0
CSNK1E	0	1	0	0	0	0	0
BDKRB2	0	3	0	0	0	0	0
MC2R	0	2	0	0	0	0	0
ZNF287	0	2	0	0	0	0	0
FGF6	0	3	0	0	0	0	0
FZD4	0	3	0	0	0	0	0
CASR	0	2	0	0	0	0	0
LBP	0	1	0	0	0	0	0
PLEKHG6	0	4	0	0	0	0	0
GUCA1A	0	2	0	0	0	0	1
CD5	0	2	0	0	0	0	0
DRD2	0	2	0	0	0	0	0
NFIB	0	2	0	0	0	0	0
LMO3	0	2	0	0	0	0	0
HAND1	0	3	0	0	0	0	0
EYA2	0	3	0	0	0	0	0
TBR1	0	2	0	0	0	0	0
NPFFR1	0	1	0	0	0	0	0
OVOL2	0	2	0	0	0	0	0
PRKACG	0	1	0	0	0	0	0
ZCWPW1	0	1	0	0	0	0	0
TSHZ2	0	4	0	0	0	0	0
STMN2	0	4	0	0	0	0	0
DAB1	0	2	0	0	0	0	0
DUSP21	0	2	0	0	0	0	0
ECEL1	0	3	0	0	0	0	0
CRYM	0	3	0	0	0	0	0
PPP2R2B	0	2	0	0	0	0	0
STMN4	0	2	0	0	0	0	0
NOX1	0	2	0	0	0	0	0
HOXB1	0	3	0	0	0	0	0
GPR182	0	3	0	0	0	0	0
INSL4	0	1	0	0	0	0	0
GRIN2B	0	3	0	0	0	0	0
HABP4	0	1	0	0	0	0	0
ZNF821	0	2	0	0	0	0	0
OR10H3	0	1	0	0	0	0	0
SCAND2P	0	1	0	0	0	0	0
FASLG	0	2	0	0	0	0	0
RAB26	0	2	0	0	0	0	0
OR2H1	0	2	0	0	0	0	0
VIPR2	0	3	0	0	0	0	0
FOXH1	0	3	0	0	0	0	0
FLRT1	0	2	0	0	0	0	0
HTR1B	0	3	0	0	0	0	0
GABRQ	0	1	0	0	0	0	0
SH2D2A	0	2	0	0	0	0	0
CAMK2A	0	4	0	0	0	0	0
NRIP2	0	2	0	0	0	0	0
ALDH1A2	0	3	0	0	0	0	1
CTNND2	0	1	0	0	0	0	0
PTPRU	0	2	0	0	0	0	0
RASIP1	0	2	0	0	0	0	0
GPR19	0	2	0	0	0	0	0
NSG1	0	3	0	0	0	0	0
TACR2	0	4	0	0	0	0	0
ITGBL1	0	2	0	0	0	0	0
EPHA4	0	3	0	0	0	0	0
CLEC1A	0	2	0	0	0	0	0
P2RX6	0	1	0	0	0	0	0
CABP5	0	4	0	0	0	0	0
PDE6A	1	4	0	0	0	0	0
MS4A5	0	2	0	0	0	0	0
HOXC13	0	2	0	0	0	0	0
SLC22A17	0	2	0	0	0	0	0
ETV1	0	3	0	0	0	0	0
GPR143	0	2	0	0	0	0	0
ARHGEF15	0	2	0	0	0	0	0
CHRNA3	0	2	0	0	0	0	0
GML	0	1	0	0	0	0	0
GPR31	0	3	0	0	0	0	0
ARHGAP24	0	1	0	0	0	0	0
NKX2-5	0	2	0	0	0	0	0
SSTR4	0	2	0	0	0	0	0
ZNF365	0	2	0	0	0	0	0
FEV	0	3	0	0	0	0	0
GABRA3	0	3	0	0	0	0	0
MARK1	0	2	0	0	0	0	0
TSPAN6	0	1	0	0	0	0	0
CHRND	0	3	0	0	0	0	0
IL17A	0	2	0	0	0	0	0
ACTN2	0	3	0	0	0	0	0
HTR4	0	3	0	0	0	0	0
CGA	0	4	0	0	0	0	0
CAMK4	0	2	0	0	0	0	1
FCRL2	0	1	0	0	0	0	0
GUCY1A2	0	3	0	0	0	0	0
CNR2	0	2	0	0	0	0	0
TMPRSS6	0	1	0	0	0	0	0
GNG3	0	4	0	0	0	0	0
MC5R	0	2	0	0	0	0	0
GNRHR	0	2	0	0	0	0	0
OXTR	0	1	0	0	0	0	0
TBX6	0	3	0	0	0	0	0
ASIC1	0	1	0	0	0	0	0
MAMLD1	0	3	0	0	0	0	0
FBXO31	0	1	0	0	0	0	0
POU6F1	0	2	0	0	0	0	0
TNS2	0	1	0	0	0	0	0
GPR50	0	4	0	0	0	0	0
NR1I3	0	2	0	0	0	0	0
GPR52	0	1	0	0	0	0	0
KIR2DL4	0	1	0	0	0	0	0
FLCN	0	1	0	0	0	0	0
CPS1	0	5	0	0	0	0	0
FGFR2	0	1	0	0	0	0	0
PAX3	0	1	0	0	0	0	0
ARHGEF16	0	2	0	0	0	0	0
PAX2	0	2	0	0	0	0	0
SALL2	0	3	0	0	0	0	0
TGFB3	0	4	0	0	0	0	0
RBPJL	0	3	0	0	0	0	0
STC1	0	1	0	0	0	0	0
OR2C1	0	1	0	0	0	0	0
GP6	0	1	0	0	0	0	0
PKNOX2	0	2	0	0	0	0	0
AKAP5	0	3	0	0	0	0	0
SIT1	0	4	0	0	0	0	0
KLF15	0	2	0	0	0	0	0
CCR4	0	4	0	0	0	0	0
INSRR	0	1	0	0	0	0	0
RGR	0	2	0	0	0	0	0
RHBDL1	0	1	0	0	0	0	0
ITGA10	0	3	0	0	0	0	0
DPF3	0	4	0	0	0	0	0
MPP2	0	4	0	0	0	0	0
ALX1	0	1	0	0	0	0	0
BDKRB1	0	4	0	0	0	0	0
NEUROD6	0	4	0	0	0	0	0
BNC2	0	2	0	0	0	0	0
PRDM14	0	3	0	0	0	0	0
APLNR	0	3	0	0	0	0	0
CAP2	0	2	0	0	0	0	0
OR1A1	0	2	0	0	0	0	0
NTF3	0	2	0	0	0	0	0
ASCL3	0	3	0	0	0	0	0
MCC	0	4	0	0	0	0	0
PRRX2	0	2	0	0	0	0	0
CNTNAP1	0	2	0	0	0	0	0
SHOX	0	4	0	0	0	0	0
RELN	0	2	0	0	0	0	0
PROP1	0	2	0	0	0	0	0
HTR6	0	4	0	0	0	0	0
WNT2	0	3	0	0	0	0	0
GLP1R	0	4	0	0	0	0	0
