"xGene"	"ma_vitro"	"hm_vitro"	"ma_vivo"	"hm_vivo"	"group"
"Mm Birc5"	1	1	0	0	"vitro_only"
"Mm Bloc1s1"	1	0	0	1	"shared"
"Mm Bola1"	1	0	0	0	"vitro_only"
"Mm Bop1"	1	1	0	0	"vitro_only"
"Mm Brap"	1	1	1	0	"shared"
"Mm Brca2"	1	0	0	0	"vitro_only"
"Mm Brd1"	1	0	0	1	"shared"
"Mm Brd2"	1	1	1	1	"shared"
"Mm Brd8"	1	0	0	0	"vitro_only"
"Mm Brd9"	1	0	0	0	"vitro_only"
"Mm Brf1"	1	1	1	0	"shared"
"Mm Brf2"	1	0	0	0	"vitro_only"
"Mm Brix1"	1	0	0	0	"vitro_only"
"Mm Brpf1"	1	1	1	1	"shared"
"Mm Btaf1"	1	0	0	0	"vitro_only"
"Mm Btf3"	1	1	0	0	"vitro_only"
"Mm Bub1b"	1	0	0	0	"vitro_only"
"Mm Bub3"	1	0	0	0	"vitro_only"
"Mm Bud31"	1	0	0	0	"vitro_only"
"Mm Bysl"	1	1	0	0	"vitro_only"
"Mm C030046E11Rik"	1	1	0	0	"vitro_only"
"Mm C1qbp"	1	0	0	0	"vitro_only"
"Mm C330021F23Rik"	1	1	0	0	"vitro_only"
"Mm C5ar2"	1	0	0	0	"vitro_only"
"Mm Cactin"	1	1	0	0	"vitro_only"
"Mm Cadm2"	1	0	0	0	"vitro_only"
"Mm Cad"	1	1	0	0	"vitro_only"
"Mm Cand1"	1	0	0	0	"vitro_only"
"Mm Capzb"	1	0	0	0	"vitro_only"
"Mm Car13"	1	0	0	0	"vitro_only"
"Mm Carm1"	1	1	0	1	"shared"
"Mm Cars2"	1	0	0	0	"vitro_only"
"Mm Cars"	1	1	1	0	"shared"
"Mm Cbfb"	1	1	1	0	"shared"
"Mm Cbln4"	1	0	0	0	"vitro_only"
"Mm Cc2d1b"	1	0	0	0	"vitro_only"
"Mm Ccdc101"	1	0	1	1	"shared"
"Mm Ccdc130"	1	0	0	0	"vitro_only"
"Mm Ccdc132"	1	0	0	0	"vitro_only"
"Mm Ccdc137"	1	1	0	1	"shared"
"Mm Ccdc174"	1	0	0	0	"vitro_only"
"Mm Ccdc22"	1	1	1	0	"shared"
"Mm Ccdc59"	1	0	0	0	"vitro_only"
"Mm Ccdc84"	1	1	0	0	"vitro_only"
"Mm Ccdc93"	1	0	0	0	"vitro_only"
"Mm Ccdc94"	1	0	0	0	"vitro_only"
"Mm Ccna2"	1	1	1	0	"shared"
"Mm Ccnb1"	1	0	0	0	"vitro_only"
"Mm Ccnc"	1	0	1	0	"shared"
"Mm Ccnd3"	1	1	1	0	"shared"
"Mm Ccnf"	1	0	0	0	"vitro_only"
"Mm Ccnk"	1	0	0	0	"vitro_only"
"Mm Ccnt1"	1	1	0	1	"shared"
"Mm Cct2"	1	1	0	0	"vitro_only"
"Mm Cct3"	1	1	0	1	"shared"
"Mm Cct4"	1	1	0	0	"vitro_only"
"Mm Cct6a"	1	1	1	1	"shared"
"Mm Cct7"	1	1	0	0	"vitro_only"
"Mm Cct8"	1	1	0	1	"shared"
"Mm Cd3eap"	1	1	0	1	"shared"
"Mm Cdc16"	1	1	1	1	"shared"
"Mm Cdc20"	1	1	0	1	"shared"
"Mm Cdc26"	1	0	0	0	"vitro_only"
"Mm Cdc27"	1	1	0	0	"vitro_only"
"Mm Cdc42"	1	0	0	1	"shared"
"Mm Cdc45"	1	0	0	1	"shared"
"Mm Cdc6"	1	1	0	0	"vitro_only"
"Mm Cdc73"	1	0	0	1	"shared"
"Mm Cdc7"	1	0	0	0	"vitro_only"
"Mm Cdipt"	1	1	1	0	"shared"
