"xGene"	"ma_vitro"	"hm_vitro"	"ma_vivo"	"hm_vivo"	"group"
"Mm Gne"	1	1	0	0	"vitro_only"
"Mm Gnl3"	1	1	1	0	"shared"
"Mm Gnpnat1"	1	0	1	0	"shared"
"Mm Golga4"	1	0	0	0	"vitro_only"
"Mm Gosr2"	1	0	0	0	"vitro_only"
"Mm Got2"	1	0	1	0	"shared"
"Mm Gpi1"	1	0	0	0	"vitro_only"
"Mm Gpkow"	1	1	1	0	"shared"
"Mm Gpn1"	1	0	0	0	"vitro_only"
"Mm Gpn2"	1	1	0	0	"vitro_only"
"Mm Gpn3"	1	0	0	0	"vitro_only"
"Mm Gpr125"	1	0	0	0	"vitro_only"
"Mm Gpr141"	1	0	0	0	"vitro_only"
"Mm Gpr89"	1	1	0	0	"vitro_only"
"Mm Grb2"	1	1	0	0	"vitro_only"
"Mm Grpel1"	1	1	1	0	"shared"
"Mm Grwd1"	1	1	0	0	"vitro_only"
"Mm Gsc"	1	0	0	0	"vitro_only"
"Mm Gtf2a1"	1	0	0	0	"vitro_only"
"Mm Gtf2b"	1	1	0	0	"vitro_only"
"Mm Gtf2e2"	1	0	0	0	"vitro_only"
"Mm Gtf2f1"	1	0	0	0	"vitro_only"
"Mm Gtf2f2"	1	0	0	0	"vitro_only"
"Mm Gtf2h2"	1	0	0	0	"vitro_only"
"Mm Gtf2h3"	1	0	0	0	"vitro_only"
"Mm Gtf2h4"	1	0	0	0	"vitro_only"
"Mm Gtf3c1"	1	0	0	0	"vitro_only"
"Mm Gtf3c4"	1	1	0	1	"shared"
"Mm Gtf3c5"	1	1	0	1	"shared"
"Mm Gtl3"	1	1	1	0	"shared"
"Mm Gtpbp3"	1	0	1	0	"shared"
"Mm Gtpbp4"	1	1	0	0	"vitro_only"
"Mm Guk1"	1	1	0	1	"shared"
"Mm H2-L"	1	1	0	0	"vitro_only"
"Mm H2afx"	1	0	0	0	"vitro_only"
"Mm H2afz"	1	1	1	1	"shared"
"Mm H3f3a"	1	1	0	0	"vitro_only"
"Mm Hars2"	1	0	0	0	"vitro_only"
"Mm Hars"	1	1	0	1	"shared"
"Mm Haus1"	1	1	0	0	"vitro_only"
"Mm Haus4"	1	1	0	1	"shared"
"Mm Haus8"	1	0	0	0	"vitro_only"
"Mm Hccs"	1	1	0	0	"vitro_only"
"Mm Hcfc1"	1	1	0	0	"vitro_only"
"Mm Hdac3"	1	1	0	0	"vitro_only"
"Mm Heatr1"	1	1	0	0	"vitro_only"
"Mm Heatr2"	1	1	0	0	"vitro_only"
"Mm Heatr3"	1	0	0	0	"vitro_only"
"Mm Herc2"	1	0	0	0	"vitro_only"
"Mm Hgs"	1	1	0	0	"vitro_only"
"Mm Hhex"	1	1	0	1	"shared"
"Mm Hinfp"	1	1	0	0	"vitro_only"
"Mm Hist1h2ae"	1	0	0	0	"vitro_only"
"Mm Hist1h2bh"	1	0	0	0	"vitro_only"
"Mm Hist1h3a"	1	1	0	0	"vitro_only"
"Mm Hist1h3g"	1	1	0	0	"vitro_only"
"Mm Hist1h4b"	1	0	0	0	"vitro_only"
"Mm Hist1h4d"	1	1	0	0	"vitro_only"
"Mm Hist1h4h"	1	0	0	1	"shared"
"Mm Hist2h2bb"	1	0	0	0	"vitro_only"
"Mm Hmgb1"	1	1	0	0	"vitro_only"
"Mm Hmgcs1"	1	1	0	0	"vitro_only"
"Mm Hnrnpa1"	1	1	0	0	"vitro_only"
"Mm Hnrnpab"	1	1	0	0	"vitro_only"
"Mm Hnrnpc"	1	0	0	0	"vitro_only"
"Mm Hnrnpdl"	1	0	0	0	"vitro_only"
"Mm Hnrnpd"	1	0	0	0	"vitro_only"
"Mm Hnrnpk"	1	1	0	1	"shared"
"Mm Hnrnpl"	1	0	0	0	"vitro_only"
"Mm Hnrnpu"	1	1	0	0	"vitro_only"
"Mm Hoga1"	1	0	0	0	"vitro_only"
"Mm Hoxa11"	1	0	0	0	"vitro_only"
"Mm Hoxa9"	1	1	0	0	"vitro_only"
"Mm Hoxb4"	1	0	0	0	"vitro_only"
"Mm Hoxc11"	1	1	0	0	"vitro_only"
"Mm Hscb"	1	0	0	0	"vitro_only"
"Mm Hsd17b10"	1	1	1	0	"shared"
"Mm Hsd17b12"	1	0	0	0	"vitro_only"
"Mm Hsp90ab1"	1	0	0	0	"vitro_only"
"Mm Hspa14"	1	1	0	0	"vitro_only"
"Mm Hspa5"	1	1	0	0	"vitro_only"
"Mm Hspa8"	1	1	0	0	"vitro_only"
"Mm Hspa9"	1	1	0	0	"vitro_only"
"Mm Hspe1"	1	1	0	0	"vitro_only"
"Mm Htatsf1"	1	1	0	0	"vitro_only"
"Mm Huwe1"	1	0	0	1	"shared"
"Mm Hyou1"	1	1	1	0	"shared"
"Mm Hypk"	1	1	0	0	"vitro_only"
"Mm Iars"	1	1	0	0	"vitro_only"
"Mm Icmt"	1	0	0	0	"vitro_only"
"Mm Idh3a"	1	0	0	0	"vitro_only"
"Mm Idh3b"	1	0	0	0	"vitro_only"
"Mm Idi1"	1	1	1	0	"shared"
"Mm Ifna5"	1	1	0	0	"vitro_only"
"Mm Igbp1"	1	1	0	0	"vitro_only"
"Mm Ikbkap"	1	0	0	0	"vitro_only"
"Mm Ik"	1	0	0	0	"vitro_only"
"Mm Ilf3"	1	0	1	1	"shared"
"Mm Imp3"	1	1	0	0	"vitro_only"
"Mm Imp4"	1	1	0	0	"vitro_only"
"Mm Impdh2"	1	1	0	0	"vitro_only"
"Mm Ina"	1	0	1	0	"shared"
"Mm Ing3"	1	0	0	0	"vitro_only"
"Mm Ing5"	1	0	1	0	"shared"
"Mm Ints1"	1	0	0	0	"vitro_only"
"Mm Ints4"	1	0	0	0	"vitro_only"
"Mm Ints8"	1	0	0	0	"vitro_only"
"Mm Ints9"	1	1	0	0	"vitro_only"
"Mm Ipmk"	1	1	1	1	"shared"
"Mm Ipo11"	1	0	0	0	"vitro_only"
"Mm Ipo13"	1	1	0	0	"vitro_only"
"Mm Ireb2"	1	1	0	0	"vitro_only"
"Mm Irf2bp2"	1	1	0	0	"vitro_only"
"Mm Isca2"	1	1	1	0	"shared"
"Mm Isy1"	1	1	0	0	"vitro_only"
"Mm Itfg2"	1	1	0	0	"vitro_only"
"Mm Itgb1bp1"	1	1	0	1	"shared"
"Mm Itpk1"	1	0	0	0	"vitro_only"
"Mm Iws1"	1	1	0	0	"vitro_only"
"Mm Jade2"	1	0	1	0	"shared"
"Mm Jak1"	1	1	0	0	"vitro_only"
"Mm Jdp2"	1	0	0	0	"vitro_only"
"Mm Kansl1"	1	0	0	0	"vitro_only"
"Mm Kansl2"	1	1	0	0	"vitro_only"
"Mm Kansl3"	1	1	0	0	"vitro_only"
"Mm Kars"	1	1	0	0	"vitro_only"
"Mm Kat8"	1	1	0	1	"shared"
"Mm Katnb1"	1	0	0	0	"vitro_only"
"Mm Kcmf1"	1	1	0	1	"shared"
"Mm Kcnip2"	1	0	0	0	"vitro_only"
"Mm Kdm2b"	1	0	0	0	"vitro_only"
"Mm Kdm3b"	1	0	1	0	"shared"
"Mm Kdm4a"	1	0	1	0	"shared"
"Mm Kdm6b"	1	0	0	0	"vitro_only"
"Mm Kdsr"	1	1	0	0	"vitro_only"
"Mm Kidins220"	1	0	0	0	"vitro_only"
"Mm Kif18b"	1	1	0	0	"vitro_only"
"Mm Kif23"	1	1	0	1	"shared"
"Mm Kif26b"	1	0	0	0	"vitro_only"
"Mm Kif4"	1	0	0	0	"vitro_only"
"Mm Kit"	1	1	0	0	"vitro_only"
"Mm Kmt2a"	1	0	0	0	"vitro_only"
"Mm Kmt2d"	1	0	0	0	"vitro_only"
"Mm Kntc1"	1	0	0	1	"shared"
"Mm Kpna2"	1	0	0	0	"vitro_only"
"Mm Kpnb1"	1	0	0	1	"shared"
"Mm Kras"	1	0	0	0	"vitro_only"
"Mm Krit1"	1	1	0	0	"vitro_only"
"Mm Krr1"	1	1	0	0	"vitro_only"
"Mm Kti12"	1	1	1	0	"shared"
"Mm Lamtor2"	1	1	1	0	"shared"
"Mm Lamtor5"	1	0	0	0	"vitro_only"
"Mm Lars2"	1	0	0	0	"vitro_only"
"Mm Las1l"	1	1	0	0	"vitro_only"
"Mm Lce1a2"	1	1	0	0	"vitro_only"
"Mm Lce1b"	1	0	0	0	"vitro_only"
"Mm Ldb1"	1	1	0	0	"vitro_only"
"Mm Ldha"	1	1	0	0	"vitro_only"
"Mm Letm2"	1	0	0	0	"vitro_only"
"Mm Lin52"	1	0	0	0	"vitro_only"
"Mm Lmo2"	1	0	0	0	"vitro_only"
"Mm Loh12cr1"	1	0	0	0	"vitro_only"
"Mm Lonp1"	1	1	1	0	"shared"
"Mm Lpcat3"	1	1	0	0	"vitro_only"
"Mm Lrp1"	1	0	0	0	"vitro_only"
"Mm Lrrc46"	1	0	0	0	"vitro_only"
"Mm Lrrcc1"	1	0	0	1	"shared"
"Mm Lsg1"	1	0	0	0	"vitro_only"
"Mm Lsm10"	1	1	1	1	"shared"
"Mm Lsm2"	1	0	0	0	"vitro_only"
"Mm Lsm3"	1	1	0	0	"vitro_only"
"Mm Lsm4"	1	0	0	0	"vitro_only"
"Mm Lsm5"	1	1	0	1	"shared"
"Mm Lsm7"	1	1	0	0	"vitro_only"
"Mm Lsm8"	1	1	0	0	"vitro_only"
"Mm Ltv1"	1	0	0	0	"vitro_only"
"Mm Lyl1"	1	1	0	0	"vitro_only"
"Mm Lyrm4"	1	0	0	0	"vitro_only"
"Mm Lyzl1"	1	0	0	0	"vitro_only"
"Mm Mad2l2"	1	1	0	1	"shared"
"Mm Magea2"	1	0	0	0	"vitro_only"
"Mm Mageb1"	1	0	0	0	"vitro_only"
"Mm Magoh"	1	0	0	0	"vitro_only"
"Mm Mak16"	1	1	0	0	"vitro_only"
"Mm Mapkapk5"	1	0	0	0	"vitro_only"
"Mm Mapt"	1	0	0	0	"vitro_only"
"Mm Mars2"	1	1	1	0	"shared"
"Mm Mars"	1	0	0	0	"vitro_only"
"Mm Mastl"	1	0	0	0	"vitro_only"
"Mm Mat2a"	1	1	0	0	"vitro_only"
"Mm Mau2"	1	0	0	0	"vitro_only"
"Mm Mbd6"	1	0	0	0	"vitro_only"
"Mm Mbip"	1	0	0	0	"vitro_only"
"Mm Mbnl3"	1	0	0	0	"vitro_only"
"Mm Mbtps1"	1	0	0	0	"vitro_only"
"Mm Mbtps2"	1	0	0	0	"vitro_only"
"Mm Mcat"	1	1	0	0	"vitro_only"
"Mm Mcl1"	1	1	0	0	"vitro_only"
"Mm Mcm3"	1	1	0	0	"vitro_only"
"Mm Mcm4"	1	1	0	0	"vitro_only"
"Mm Mcm5"	1	1	0	0	"vitro_only"
"Mm Mcm6"	1	1	0	0	"vitro_only"
"Mm Mcm7"	1	1	0	1	"shared"
"Mm Mcmbp"	1	0	0	0	"vitro_only"
"Mm Mcts1"	1	1	1	1	"shared"
"Mm Mdm2"	1	1	0	0	"vitro_only"
"Mm Mdn1"	1	1	0	0	"vitro_only"
"Mm Me2"	1	0	0	0	"vitro_only"
"Mm Meaf6"	1	0	1	0	"shared"
"Mm Mecom"	1	0	0	0	"vitro_only"
"Mm Mecr"	1	1	0	0	"vitro_only"
"Mm Med11"	1	0	0	0	"vitro_only"
"Mm Med12"	1	1	0	0	"vitro_only"
"Mm Med13l"	1	0	0	0	"vitro_only"
"Mm Med14"	1	1	0	0	"vitro_only"
"Mm Med15"	1	0	1	0	"shared"
"Mm Med17"	1	1	0	0	"vitro_only"
"Mm Med18"	1	0	0	0	"vitro_only"
"Mm Med20"	1	0	0	0	"vitro_only"
"Mm Med22"	1	0	0	0	"vitro_only"
"Mm Med23"	1	0	0	0	"vitro_only"
"Mm Med24"	1	0	1	0	"shared"
"Mm Med26"	1	1	0	0	"vitro_only"
"Mm Med27"	1	0	0	0	"vitro_only"
"Mm Med4"	1	0	0	0	"vitro_only"
"Mm Med6"	1	0	0	0	"vitro_only"
"Mm Med8"	1	1	0	0	"vitro_only"
"Mm Med9"	1	0	0	0	"vitro_only"
"Mm Meis1"	1	0	0	0	"vitro_only"
"Mm Men1"	1	0	0	0	"vitro_only"
"Mm Mesdc1"	1	0	0	0	"vitro_only"
"Mm Metap1"	1	1	0	0	"vitro_only"
"Mm Metap2"	1	0	0	1	"shared"
"Mm Mettl14"	1	0	1	0	"shared"
"Mm Mfsd7b"	1	1	0	0	"vitro_only"
"Mm Mgat1"	1	1	1	0	"shared"
"Mm Mipep"	1	0	0	0	"vitro_only"
"Mm Mis12"	1	0	0	0	"vitro_only"
"Mm Mis18a"	1	0	0	0	"vitro_only"
"Mm Mis18bp1"	1	1	0	0	"vitro_only"
"Mm Mllt1"	1	0	1	0	"shared"
"Mm Mmachc"	1	0	0	0	"vitro_only"
"Mm Mocs3"	1	1	1	0	"shared"
"Mm Mogs"	1	1	0	0	"vitro_only"
"Mm Morc2a"	1	0	0	0	"vitro_only"
"Mm Morf4l2"	1	0	0	0	"vitro_only"
"Mm Mpdu1"	1	1	0	0	"vitro_only"
"Mm Mpg"	1	0	0	0	"vitro_only"
"Mm Mphosph10"	1	0	0	0	"vitro_only"
"Mm Mphosph8"	1	0	0	0	"vitro_only"
"Mm Mre11a"	1	1	0	1	"shared"
"Mm Mrgbp"	1	0	0	1	"shared"
"Mm Mrp63"	1	1	0	0	"vitro_only"
"Mm Mrpl10"	1	1	0	0	"vitro_only"
"Mm Mrpl12"	1	0	0	0	"vitro_only"
"Mm Mrpl14"	1	1	0	1	"shared"
"Mm Mrpl15"	1	0	1	0	"shared"
"Mm Mrpl17"	1	0	0	0	"vitro_only"
"Mm Mrpl18"	1	0	0	0	"vitro_only"
"Mm Mrpl19"	1	1	0	1	"shared"
"Mm Mrpl20"	1	1	1	1	"shared"
"Mm Mrpl21"	1	1	0	0	"vitro_only"
"Mm Mrpl22"	1	1	0	0	"vitro_only"
"Mm Mrpl23"	1	0	1	0	"shared"
"Mm Mrpl27"	1	0	0	0	"vitro_only"
"Mm Mrpl28"	1	1	1	0	"shared"
"Mm Mrpl2"	1	0	0	1	"shared"
"Mm Mrpl30"	1	0	0	0	"vitro_only"
"Mm Mrpl34"	1	1	0	0	"vitro_only"
"Mm Mrpl35"	1	1	0	0	"vitro_only"
"Mm Mrpl36"	1	0	1	0	"shared"
"Mm Mrpl37"	1	1	0	1	"shared"
"Mm Mrpl38"	1	1	1	0	"shared"
"Mm Mrpl40"	1	0	0	0	"vitro_only"
"Mm Mrpl41"	1	1	1	0	"shared"
"Mm Mrpl43"	1	1	0	0	"vitro_only"
"Mm Mrpl44"	1	1	0	0	"vitro_only"
"Mm Mrpl46"	1	1	0	0	"vitro_only"
"Mm Mrpl47"	1	1	0	0	"vitro_only"
"Mm Mrpl4"	1	1	0	0	"vitro_only"
"Mm Mrpl50"	1	1	0	0	"vitro_only"
"Mm Mrpl51"	1	0	1	0	"shared"
"Mm Mrpl52"	1	1	0	0	"vitro_only"
"Mm Mrps10"	1	1	1	0	"shared"
"Mm Mrps11"	1	1	0	0	"vitro_only"
"Mm Mrps12"	1	1	1	1	"shared"
"Mm Mrps18a"	1	1	0	0	"vitro_only"
"Mm Mrps18b"	1	1	0	1	"shared"
"Mm Mrps21"	1	1	1	1	"shared"
"Mm Mrps24"	1	1	0	0	"vitro_only"
"Mm Mrps25"	1	0	0	0	"vitro_only"
"Mm Mrps26"	1	1	0	0	"vitro_only"
"Mm Mrps28"	1	1	0	0	"vitro_only"
"Mm Mrps36"	1	0	1	0	"shared"
"Mm Mrps6"	1	0	0	0	"vitro_only"
"Mm Mrps7"	1	1	1	1	"shared"
"Mm Mrps9"	1	0	0	0	"vitro_only"
"Mm Mrto4"	1	0	0	0	"vitro_only"
"Mm Msi2"	1	1	0	0	"vitro_only"
"Mm Msl1"	1	0	0	0	"vitro_only"
"Mm Mterfd2"	1	0	1	0	"shared"
"Mm Mtf1"	1	0	0	0	"vitro_only"
"Mm Mtg2"	1	1	1	1	"shared"
"Mm Mthfd1"	1	1	0	0	"vitro_only"
"Mm Mtif2"	1	1	0	1	"shared"
"Mm Mtif3"	1	0	0	0	"vitro_only"
"Mm Mtor"	1	0	0	0	"vitro_only"
"Mm Mtpap"	1	0	0	0	"vitro_only"
"Mm Mtrf1l"	1	1	1	0	"shared"
"Mm Mtrr"	1	0	0	0	"vitro_only"
"Mm Mtr"	1	0	1	0	"shared"
"Mm Mtx1"	1	1	1	0	"shared"
"Mm Mtx2"	1	1	1	0	"shared"
"Mm Mup4"	1	0	0	0	"vitro_only"
"Mm Mvd"	1	0	0	0	"vitro_only"
"Mm Mybbp1a"	1	1	0	0	"vitro_only"
"Mm Mybl2"	1	0	0	0	"vitro_only"
"Mm Myb"	1	1	0	0	"vitro_only"
"Mm Myc"	1	0	0	0	"vitro_only"
"Mm Myh9"	1	1	0	1	"shared"
"Mm N6amt1"	1	1	0	0	"vitro_only"
"Mm Naa20"	1	0	0	0	"vitro_only"
"Mm Naa25"	1	1	0	0	"vitro_only"
"Mm Naa30"	1	1	0	0	"vitro_only"
"Mm Naa35"	1	1	0	0	"vitro_only"
"Mm Naca"	1	1	0	0	"vitro_only"
"Mm Nadk"	1	1	0	0	"vitro_only"
"Mm Nampt"	1	0	1	0	"shared"
"Mm Napa"	1	1	0	0	"vitro_only"
"Mm Napb"	1	0	0	0	"vitro_only"
"Mm Narfl"	1	1	0	0	"vitro_only"
"Mm Nasp"	1	0	0	0	"vitro_only"
"Mm Nat10"	1	1	0	0	"vitro_only"
"Mm Nat9"	1	0	0	0	"vitro_only"
"Mm Ncapd2"	1	1	0	0	"vitro_only"
"Mm Ncapg2"	1	1	1	0	"shared"
"Mm Ncapg"	1	0	1	0	"shared"
"Mm Ncaph2"	1	1	0	0	"vitro_only"
"Mm Ncbp1"	1	1	0	0	"vitro_only"
"Mm Ncbp2"	1	0	0	0	"vitro_only"
"Mm Ncl"	1	1	0	0	"vitro_only"
"Mm Ncoa6"	1	1	0	0	"vitro_only"
"Mm Ndc80"	1	1	0	0	"vitro_only"
"Mm Ndnl2"	1	0	0	0	"vitro_only"
"Mm Ndufa10"	1	0	0	0	"vitro_only"
"Mm Ndufa1"	1	1	1	1	"shared"
"Mm Ndufa3"	1	1	1	1	"shared"
"Mm Ndufab1"	1	1	0	0	"vitro_only"
"Mm Ndufaf3"	1	0	1	0	"shared"
"Mm Ndufaf5"	1	0	0	0	"vitro_only"
"Mm Ndufaf6"	1	0	0	0	"vitro_only"
"Mm Ndufb2"	1	0	1	0	"shared"
"Mm Ndufb3"	1	0	1	0	"shared"
"Mm Ndufb5"	1	1	1	1	"shared"
"Mm Ndufb8"	1	0	0	0	"vitro_only"
"Mm Ndufb9"	1	0	1	0	"shared"
"Mm Ndufs2"	1	1	1	0	"shared"
"Mm Ndufs3"	1	0	1	0	"shared"
"Mm Ndufs8"	1	1	0	1	"shared"
"Mm Ndufv1"	1	1	1	1	"shared"
"Mm Nedd8"	1	1	1	0	"shared"
"Mm Nelfa"	1	0	0	0	"vitro_only"
"Mm Nelfb"	1	1	0	0	"vitro_only"
"Mm Nelfcd"	1	1	0	0	"vitro_only"
"Mm Nelfe"	1	0	1	0	"shared"
"Mm Nfs1"	1	0	0	0	"vitro_only"
"Mm Nfyc"	1	1	0	0	"vitro_only"
"Mm Nhp2l1"	1	1	0	1	"shared"
"Mm Nhp2"	1	0	1	0	"shared"
"Mm Nip7"	1	1	0	0	"vitro_only"
"Mm Nkap"	1	0	1	0	"shared"
"Mm Nle1"	1	1	0	0	"vitro_only"
"Mm Nmd3"	1	0	0	0	"vitro_only"
"Mm Nmt1"	1	0	0	0	"vitro_only"
"Mm Noc3l"	1	0	0	0	"vitro_only"
"Mm Noc4l"	1	0	0	0	"vitro_only"
"Mm Nol10"	1	1	1	1	"shared"
"Mm Nol11"	1	1	0	0	"vitro_only"
"Mm Nol12"	1	0	0	0	"vitro_only"
"Mm Nol6"	1	0	0	0	"vitro_only"
"Mm Nol7"	1	0	1	0	"shared"
"Mm Nol8"	1	0	0	0	"vitro_only"
"Mm Nol9"	1	1	0	0	"vitro_only"
"Mm Nom1"	1	0	0	0	"vitro_only"
"Mm Nop10"	1	1	0	1	"shared"
"Mm Nop14"	1	0	0	0	"vitro_only"
"Mm Nop16"	1	1	0	0	"vitro_only"
"Mm Nop2"	1	1	0	0	"vitro_only"
"Mm Nop56"	1	1	0	0	"vitro_only"
"Mm Nop58"	1	0	0	0	"vitro_only"
"Mm Nop9"	1	0	0	0	"vitro_only"
"Mm Nosip"	1	0	0	0	"vitro_only"
"Mm Npm1"	1	1	0	0	"vitro_only"
"Mm Nr2c2ap"	1	1	0	0	"vitro_only"
"Mm Nras"	1	1	0	0	"vitro_only"
"Mm Nrbp1"	1	1	1	0	"shared"
"Mm Nrd1"	1	0	0	0	"vitro_only"
"Mm Nrf1"	1	1	0	0	"vitro_only"
"Mm Nsa2"	1	1	0	0	"vitro_only"
"Mm Nsf"	1	0	0	0	"vitro_only"
"Mm Nsl1"	1	1	0	0	"vitro_only"
"Mm Nsmce1"	1	0	1	0	"shared"
"Mm Nsmce4a"	1	0	0	0	"vitro_only"
"Mm Nsun4"	1	1	1	0	"shared"
"Mm Nsun5"	1	0	0	0	"vitro_only"
"Mm Nubp1"	1	1	0	0	"vitro_only"
"Mm Nubp2"	1	1	0	1	"shared"
"Mm Nup107"	1	0	0	0	"vitro_only"
"Mm Nup133"	1	1	1	0	"shared"
"Mm Nup188"	1	0	0	0	"vitro_only"
"Mm Nup205"	1	1	1	0	"shared"
"Mm Nup43"	1	1	1	0	"shared"
"Mm Nup93"	1	1	0	0	"vitro_only"
"Mm Nup98"	1	1	0	0	"vitro_only"
"Mm Nupl2"	1	0	1	0	"shared"
"Mm Nus1"	1	0	0	0	"vitro_only"
"Mm Nutf2"	1	0	0	1	"shared"
"Mm Nvl"	1	0	0	0	"vitro_only"
"Mm Nxf1"	1	1	1	1	"shared"
"Mm Nxt1"	1	1	0	0	"vitro_only"
"Mm Ogdh"	1	1	0	0	"vitro_only"
"Mm Ogt"	1	0	0	0	"vitro_only"
"Mm Oip5"	1	0	1	0	"shared"
"Mm Olfm1"	1	0	0	0	"vitro_only"
"Mm Olfr117"	1	0	0	0	"vitro_only"
"Mm Olfr120"	1	0	0	0	"vitro_only"
"Mm Olfr134"	1	0	0	0	"vitro_only"
"Mm Olfr402"	1	0	0	0	"vitro_only"
"Mm Olfr532"	1	0	0	0	"vitro_only"
"Mm Olfr734"	1	0	0	0	"vitro_only"
"Mm Olfr834"	1	0	0	0	"vitro_only"
"Mm Olfr923"	1	0	0	0	"vitro_only"
"Mm Oraov1"	1	1	0	0	"vitro_only"
"Mm Orc3"	1	1	0	0	"vitro_only"
"Mm Orc4"	1	1	1	0	"shared"
"Mm Orc5"	1	0	0	0	"vitro_only"
"Mm Orc6"	1	1	0	0	"vitro_only"
"Mm Osbp"	1	1	0	0	"vitro_only"
"Mm Oxsm"	1	0	0	0	"vitro_only"
"Mm Oxsr1"	1	1	1	0	"shared"
"Mm Pabpc1"	1	0	0	0	"vitro_only"
"Mm Pabpn1"	1	1	0	1	"shared"
"Mm Pacsin2"	1	1	0	0	"vitro_only"
"Mm Paf1"	1	0	0	0	"vitro_only"
"Mm Pafah1b1"	1	1	0	0	"vitro_only"
"Mm Paics"	1	1	0	0	"vitro_only"
"Mm Paip1"	1	0	1	0	"shared"
"Mm Pak1ip1"	1	1	0	0	"vitro_only"
"Mm Pam16"	1	1	1	0	"shared"
"Mm Pars2"	1	0	1	0	"shared"
"Mm Paxip1"	1	1	1	1	"shared"
"Mm Pbx2"	1	1	0	0	"vitro_only"
"Mm Pbx3"	1	1	0	0	"vitro_only"
"Mm Pcdhb4"	1	0	0	0	"vitro_only"
"Mm Pcna"	1	1	1	1	"shared"
"Mm Pcnp"	1	0	0	0	"vitro_only"
"Mm Pcnt"	1	0	0	0	"vitro_only"
"Mm Pcsk4"	1	1	0	0	"vitro_only"
"Mm Pcyt1a"	1	0	0	0	"vitro_only"
"Mm Pcyt2"	1	0	0	0	"vitro_only"
"Mm Pdap1"	1	1	0	0	"vitro_only"
"Mm Pdcd10"	1	0	0	0	"vitro_only"
"Mm Pdcd2"	1	0	0	0	"vitro_only"
"Mm Pdcd4"	1	1	0	0	"vitro_only"
"Mm Pdcd5"	1	1	0	0	"vitro_only"
"Mm Pdcl"	1	1	0	0	"vitro_only"
"Mm Pdia6"	1	1	0	0	"vitro_only"
"Mm Pds5a"	1	1	0	0	"vitro_only"
"Mm Pdxk"	1	0	1	1	"shared"
"Mm Pelo"	1	1	0	1	"shared"
"Mm Peo1"	1	1	0	1	"shared"
"Mm Pes1"	1	1	0	0	"vitro_only"
"Mm Pet112"	1	1	0	1	"shared"
"Mm Pex10"	1	1	0	0	"vitro_only"
"Mm Pex12"	1	0	0	0	"vitro_only"
"Mm Pex13"	1	1	0	0	"vitro_only"
"Mm Pex14"	1	0	0	0	"vitro_only"
"Mm Pex19"	1	1	0	0	"vitro_only"
"Mm Pex1"	1	0	0	0	"vitro_only"
"Mm Pex6"	1	0	0	0	"vitro_only"
"Mm Pfdn5"	1	1	0	0	"vitro_only"
"Mm Pfn1"	1	0	0	0	"vitro_only"
"Mm Pgam1"	1	1	0	1	"shared"
"Mm Pgam2"	1	0	0	0	"vitro_only"
"Mm Pgd"	1	0	0	0	"vitro_only"
"Mm Pggt1b"	1	1	0	0	"vitro_only"
"Mm Pgk1"	1	1	0	1	"shared"
"Mm Phb2"	1	1	0	0	"vitro_only"
"Mm Phb"	1	1	0	0	"vitro_only"
"Mm Phc2"	1	1	0	1	"shared"
"Mm Phf12"	1	0	0	0	"vitro_only"
"Mm Phf5a"	1	0	1	1	"shared"
"Mm Pi4ka"	1	0	0	0	"vitro_only"
"Mm Pias1"	1	0	1	0	"shared"
"Mm Pik3cg"	1	0	0	1	"shared"
"Mm Pkia"	1	0	0	0	"vitro_only"
"Mm Pkmyt1"	1	1	0	0	"vitro_only"
"Mm Plin5"	1	0	0	0	"vitro_only"
"Mm Plk1"	1	1	0	0	"vitro_only"
"Mm Plk4"	1	1	0	0	"vitro_only"
"Mm Plvap"	1	0	0	0	"vitro_only"
"Mm Pmf1"	1	1	0	0	"vitro_only"
"Mm Pmpcb"	1	0	0	0	"vitro_only"
"Mm Pmvk"	1	0	0	1	"shared"
"Mm Pno1"	1	1	0	1	"shared"
"Mm Pnpt1"	1	1	1	1	"shared"
"Mm Pola1"	1	0	0	0	"vitro_only"
"Mm Pola2"	1	1	0	0	"vitro_only"
"Mm Pold1"	1	1	0	0	"vitro_only"
"Mm Pold2"	1	1	0	0	"vitro_only"
"Mm Pold3"	1	0	1	1	"shared"
"Mm Polg2"	1	0	0	0	"vitro_only"
"Mm Polg"	1	1	0	1	"shared"
"Mm Polq"	1	0	1	0	"shared"
"Mm Polr1a"	1	1	0	0	"vitro_only"
"Mm Polr1b"	1	0	1	0	"shared"
"Mm Polr1c"	1	1	1	0	"shared"
"Mm Polr2a"	1	1	1	1	"shared"
"Mm Polr2b"	1	1	0	0	"vitro_only"
"Mm Polr2d"	1	1	0	0	"vitro_only"
"Mm Polr2e"	1	0	0	0	"vitro_only"
"Mm Polr2f"	1	1	0	0	"vitro_only"
"Mm Polr2g"	1	1	0	0	"vitro_only"
"Mm Polr2h"	1	1	0	0	"vitro_only"
"Mm Polr2i"	1	1	0	0	"vitro_only"
"Mm Polr2j"	1	1	0	0	"vitro_only"
"Mm Polr2k"	1	0	1	0	"shared"
"Mm Polr2l"	1	0	0	0	"vitro_only"
"Mm Polr3b"	1	1	0	0	"vitro_only"
"Mm Polr3c"	1	1	0	0	"vitro_only"
"Mm Polr3f"	1	0	0	0	"vitro_only"
"Mm Polr3h"	1	1	1	0	"shared"
